sequence_ID	prediction
CP013019.1_from_3_to_4351861_total_4351859_132	EC:6.1.1.10
CP013019.1_from_3_to_4351861_total_4351859_139	EC:3.1.26.8
CP013019.1_from_3_to_4351861_total_4351859_140	EC:2.1.1.182
CP013019.1_from_3_to_4351861_total_4351859_148	EC:6.1.1.23
CP013019.1_from_3_to_4351861_total_4351859_157	EC:1.17.4.2
CP013019.1_from_3_to_4351861_total_4351859_161	EC:6.1.1.5
CP013019.1_from_3_to_4351861_total_4351859_182	EC:3.4.11.4
CP013019.1_from_3_to_4351861_total_4351859_185	EC:5.6.2.1
CP013019.1_from_3_to_4351861_total_4351859_187	EC:2.7.13.3
CP013019.1_from_3_to_4351861_total_4351859_188	EC:3.5.4.16
CP013019.1_from_3_to_4351861_total_4351859_190	EC:2.5.1.15
CP013019.1_from_3_to_4351861_total_4351859_191	EC:4.1.2.25
CP013019.1_from_3_to_4351861_total_4351859_199	EC:2.5.1.72
CP013019.1_from_3_to_4351861_total_4351859_200	EC:1.4.3.16
CP013019.1_from_3_to_4351861_total_4351859_216	EC:2.7.1.148
CP013019.1_from_3_to_4351861_total_4351859_225	EC:6.3.4.2
CP013019.1_from_3_to_4351861_total_4351859_231	EC:2.7.1.21
CP013019.1_from_3_to_4351861_total_4351859_233	EC:2.1.1.297
CP013019.1_from_3_to_4351861_total_4351859_237	EC:2.7.7.87
CP013019.1_from_3_to_4351861_total_4351859_239	EC:5.3.1.6
CP013019.1_from_3_to_4351861_total_4351859_240	EC:2.4.2.9
CP013019.1_from_3_to_4351861_total_4351859_253	EC:1.1.1.60
CP013019.1_from_3_to_4351861_total_4351859_254	None
CP013019.1_from_3_to_4351861_total_4351859_255	EC:1.17.1.5
CP013019.1_from_3_to_4351861_total_4351859_256	EC:1.17.1.4
CP013019.1_from_3_to_4351861_total_4351859_257	EC:1.3.7.1
CP013019.1_from_3_to_4351861_total_4351859_262	EC:3.5.2.18
CP013019.1_from_3_to_4351861_total_4351859_265	EC:1.18.6.1
CP013019.1_from_3_to_4351861_total_4351859_266	EC:1.18.6.1
CP013019.1_from_3_to_4351861_total_4351859_271	EC:4.6.1.17
CP013019.1_from_3_to_4351861_total_4351859_272	EC:4.3.1.15
CP013019.1_from_3_to_4351861_total_4351859_278	EC:2.7.9.3
CP013019.1_from_3_to_4351861_total_4351859_284	EC:3.1.3.18
CP013019.1_from_3_to_4351861_total_4351859_290	EC:1.8.7.1
CP013019.1_from_3_to_4351861_total_4351859_294	EC:3.5.1.81;EC:3.5.1.82
CP013019.1_from_3_to_4351861_total_4351859_298	EC:1.3.1.1;EC:1.3.1.14
CP013019.1_from_3_to_4351861_total_4351859_299	EC:2.7.7.76
CP013019.1_from_3_to_4351861_total_4351859_301	EC:1.17.1.5
CP013019.1_from_3_to_4351861_total_4351859_302	None
CP013019.1_from_3_to_4351861_total_4351859_306	EC:2.3.2.3
CP013019.1_from_3_to_4351861_total_4351859_309	EC:3.5.99.6
CP013019.1_from_3_to_4351861_total_4351859_321	EC:3.2.1.177
CP013019.1_from_3_to_4351861_total_4351859_322	EC:2.3.1.79
CP013019.1_from_3_to_4351861_total_4351859_323	EC:3.2.1.10
CP013019.1_from_3_to_4351861_total_4351859_325	EC:2.6.1.39
CP013019.1_from_3_to_4351861_total_4351859_328	EC:1.5.1.20
CP013019.1_from_3_to_4351861_total_4351859_337	EC:3.2.1.93
CP013019.1_from_3_to_4351861_total_4351859_338	EC:2.7.1.69
CP013019.1_from_3_to_4351861_total_4351859_339	EC:2.1.2.3
CP013019.1_from_3_to_4351861_total_4351859_346	EC:2.3.1.79
CP013019.1_from_3_to_4351861_total_4351859_352	EC:1.7.99.1
CP013019.1_from_3_to_4351861_total_4351859_355	EC:2.4.1.10
CP013019.1_from_3_to_4351861_total_4351859_356	EC:3.2.1.80
CP013019.1_from_3_to_4351861_total_4351859_358	EC:3.5.1.88
CP013019.1_from_3_to_4351861_total_4351859_378	EC:3.4.21.92
CP013019.1_from_3_to_4351861_total_4351859_380	EC:3.2.1.26;EC:3.2.1.80
CP013019.1_from_3_to_4351861_total_4351859_394	EC:2.7.13.3
CP013019.1_from_3_to_4351861_total_4351859_395	EC:4.2.1.103
CP013019.1_from_3_to_4351861_total_4351859_397	EC:2.7.7.6
CP013019.1_from_3_to_4351861_total_4351859_400	EC:4.2.1.9
CP013019.1_from_3_to_4351861_total_4351859_404	EC:3.6.3.25
CP013019.1_from_3_to_4351861_total_4351859_417	EC:2.1.1.63
CP013019.1_from_3_to_4351861_total_4351859_418	EC:3.1.21.2
CP013019.1_from_3_to_4351861_total_4351859_421	EC:3.1.31.1
CP013019.1_from_3_to_4351861_total_4351859_423	EC:3.5.4.30
CP013019.1_from_3_to_4351861_total_4351859_453	EC:5.3.3.2
CP013019.1_from_3_to_4351861_total_4351859_459	EC:1.8.1.14
CP013019.1_from_3_to_4351861_total_4351859_460	EC:3.1.3.1
CP013019.1_from_3_to_4351861_total_4351859_467	EC:3.6.3.16
CP013019.1_from_3_to_4351861_total_4351859_468	EC:2.6.1.11
CP013019.1_from_3_to_4351861_total_4351859_478	EC:1.2.7.4
CP013019.1_from_3_to_4351861_total_4351859_490	EC:2.7.13.3
CP013019.1_from_3_to_4351861_total_4351859_499	EC:1.8.1.14
CP013019.1_from_3_to_4351861_total_4351859_511	EC:4.3.99.3
CP013019.1_from_3_to_4351861_total_4351859_522	EC:3.2.1.22
CP013019.1_from_3_to_4351861_total_4351859_531	EC:2.7.1.69
CP013019.1_from_3_to_4351861_total_4351859_536	EC:2.7.7.12
CP013019.1_from_3_to_4351861_total_4351859_539	EC:2.7.1.6
CP013019.1_from_3_to_4351861_total_4351859_540	EC:2.4.1.10
CP013019.1_from_3_to_4351861_total_4351859_547	None
CP013019.1_from_3_to_4351861_total_4351859_561	EC:2.1.1.37
CP013019.1_from_3_to_4351861_total_4351859_569	EC:4.2.1.6
CP013019.1_from_3_to_4351861_total_4351859_570	EC:5.1.3.2
CP013019.1_from_3_to_4351861_total_4351859_580	EC:4.99.1.12
CP013019.1_from_3_to_4351861_total_4351859_593	EC:2.8.1.6
CP013019.1_from_3_to_4351861_total_4351859_598	EC:2.2.1.6
CP013019.1_from_3_to_4351861_total_4351859_599	EC:1.1.1.1;EC:1.1.1.61
CP013019.1_from_3_to_4351861_total_4351859_621	EC:2.7.7.13;EC:2.7.7.22;EC:5.3.1.8
CP013019.1_from_3_to_4351861_total_4351859_628	EC:5.4.99.9
CP013019.1_from_3_to_4351861_total_4351859_648	None
CP013019.1_from_3_to_4351861_total_4351859_649	EC:1.1.1.304
CP013019.1_from_3_to_4351861_total_4351859_676	EC:1.12.99.6
CP013019.1_from_3_to_4351861_total_4351859_677	None
CP013019.1_from_3_to_4351861_total_4351859_686	EC:3.6.1.7
CP013019.1_from_3_to_4351861_total_4351859_700	EC:1.3.1.31
CP013019.1_from_3_to_4351861_total_4351859_710	None
CP013019.1_from_3_to_4351861_total_4351859_750	EC:4.2.1.45
CP013019.1_from_3_to_4351861_total_4351859_754	EC:6.3.3.3
CP013019.1_from_3_to_4351861_total_4351859_755	EC:2.6.1.62
CP013019.1_from_3_to_4351861_total_4351859_756	EC:2.7.13.3
CP013019.1_from_3_to_4351861_total_4351859_758	None
CP013019.1_from_3_to_4351861_total_4351859_784	EC:2.3.1.54
CP013019.1_from_3_to_4351861_total_4351859_785	EC:1.97.1.4
CP013019.1_from_3_to_4351861_total_4351859_786	EC:3.1.4.52
CP013019.1_from_3_to_4351861_total_4351859_794	EC:5.1.3.4
CP013019.1_from_3_to_4351861_total_4351859_795	EC:5.1.3.22
CP013019.1_from_3_to_4351861_total_4351859_798	EC:2.2.1.2
CP013019.1_from_3_to_4351861_total_4351859_799	None
CP013019.1_from_3_to_4351861_total_4351859_824	EC:3.4.21.89
CP013019.1_from_3_to_4351861_total_4351859_832	EC:2.2.1.2
CP013019.1_from_3_to_4351861_total_4351859_834	EC:2.3.1.9
CP013019.1_from_3_to_4351861_total_4351859_838	EC:4.2.1.103
CP013019.1_from_3_to_4351861_total_4351859_840	EC:1.1.1.133
CP013019.1_from_3_to_4351861_total_4351859_844	EC:3.6.4.12
CP013019.1_from_3_to_4351861_total_4351859_853	EC:4.3.3.7
CP013019.1_from_3_to_4351861_total_4351859_856	EC:2.8.3.5;EC:2.8.3.8;EC:2.8.3.9
CP013019.1_from_3_to_4351861_total_4351859_857	None
CP013019.1_from_3_to_4351861_total_4351859_889	EC:3.4.21.89
CP013019.1_from_3_to_4351861_total_4351859_905	EC:1.1.1.100
CP013019.1_from_3_to_4351861_total_4351859_921	EC:2.7.13.3
CP013019.1_from_3_to_4351861_total_4351859_951	EC:3.6.1.27
CP013019.1_from_3_to_4351861_total_4351859_996	EC:2.7.7.75
CP013019.1_from_3_to_4351861_total_4351859_997	EC:1.17.1.9
CP013019.1_from_3_to_4351861_total_4351859_998	EC:2.10.1.1
CP013019.1_from_3_to_4351861_total_4351859_1002	EC:2.7.7.77
CP013019.1_from_3_to_4351861_total_4351859_1003	EC:4.1.99.22
CP013019.1_from_3_to_4351861_total_4351859_1011	EC:2.7.13.3
CP013019.1_from_3_to_4351861_total_4351859_1016	EC:1.18.6.1
CP013019.1_from_3_to_4351861_total_4351859_1033	EC:2.7.13.3
CP013019.1_from_3_to_4351861_total_4351859_1047	EC:2.7.13.3
CP013019.1_from_3_to_4351861_total_4351859_1049	EC:2.7.13.3
CP013019.1_from_3_to_4351861_total_4351859_1055	EC:3.2.1.26
CP013019.1_from_3_to_4351861_total_4351859_1062	EC:1.1.1.1
CP013019.1_from_3_to_4351861_total_4351859_1063	EC:4.1.2.13
CP013019.1_from_3_to_4351861_total_4351859_1064	EC:2.7.1.92
CP013019.1_from_3_to_4351861_total_4351859_1065	EC:5.3.1.30
CP013019.1_from_3_to_4351861_total_4351859_1066	EC:3.7.1.22
CP013019.1_from_3_to_4351861_total_4351859_1068	EC:4.2.1.44
CP013019.1_from_3_to_4351861_total_4351859_1070	EC:4.2.1.17
CP013019.1_from_3_to_4351861_total_4351859_1071	EC:2.8.3.8
CP013019.1_from_3_to_4351861_total_4351859_1072	EC:1.3.8.1
CP013019.1_from_3_to_4351861_total_4351859_1076	None
CP013019.1_from_3_to_4351861_total_4351859_1078	EC:3.5.1.87
CP013019.1_from_3_to_4351861_total_4351859_1083	EC:3.5.4.3
CP013019.1_from_3_to_4351861_total_4351859_1086	EC:2.7.13.3
CP013019.1_from_3_to_4351861_total_4351859_1087	EC:1.18.6.1
CP013019.1_from_3_to_4351861_total_4351859_1096	EC:1.2.1.12
CP013019.1_from_3_to_4351861_total_4351859_1108	EC:2.7.1.180
CP013019.1_from_3_to_4351861_total_4351859_1143	EC:2.7.6.1
CP013019.1_from_3_to_4351861_total_4351859_1152	None
CP013019.1_from_3_to_4351861_total_4351859_1155	EC:2.6.1.19;EC:2.6.1.48
CP013019.1_from_3_to_4351861_total_4351859_1156	EC:1.1.1.157
CP013019.1_from_3_to_4351861_total_4351859_1161	EC:2.5.1.48
CP013019.1_from_3_to_4351861_total_4351859_1162	EC:1.1.1.169
CP013019.1_from_3_to_4351861_total_4351859_1163	EC:4.1.99.19
CP013019.1_from_3_to_4351861_total_4351859_1166	EC:3.6.4.12
CP013019.1_from_3_to_4351861_total_4351859_1187	EC:1.1.1.6
CP013019.1_from_3_to_4351861_total_4351859_1195	EC:3.4.11.18
CP013019.1_from_3_to_4351861_total_4351859_1203	EC:2.7.2.4
CP013019.1_from_3_to_4351861_total_4351859_1204	EC:4.1.1.20
CP013019.1_from_3_to_4351861_total_4351859_1205	EC:1.1.1.100;EC:1.1.1.276;EC:1.1.1.313
CP013019.1_from_3_to_4351861_total_4351859_1211	EC:1.15.1.2
CP013019.1_from_3_to_4351861_total_4351859_1212	EC:6.1.1.2
CP013019.1_from_3_to_4351861_total_4351859_1213	EC:2.7.13.3
CP013019.1_from_3_to_4351861_total_4351859_1222	EC:4.2.1.24
CP013019.1_from_3_to_4351861_total_4351859_1223	EC:4.99.1.3
CP013019.1_from_3_to_4351861_total_4351859_1228	EC:2.5.1.17
CP013019.1_from_3_to_4351861_total_4351859_1229	EC:6.3.5.11
CP013019.1_from_3_to_4351861_total_4351859_1232	EC:2.1.1.195
CP013019.1_from_3_to_4351861_total_4351859_1236	EC:2.1.1.151
CP013019.1_from_3_to_4351861_total_4351859_1237	EC:2.1.1.133
CP013019.1_from_3_to_4351861_total_4351859_1238	EC:3.7.1.12
CP013019.1_from_3_to_4351861_total_4351859_1240	EC:1.3.1.106;EC:1.3.1.54
CP013019.1_from_3_to_4351861_total_4351859_1244	None
CP013019.1_from_3_to_4351861_total_4351859_1249	EC:6.1.1.1
CP013019.1_from_3_to_4351861_total_4351859_1258	EC:6.1.1.4
CP013019.1_from_3_to_4351861_total_4351859_1276	EC:4.4.1.8
CP013019.1_from_3_to_4351861_total_4351859_1282	EC:4.3.1.17
CP013019.1_from_3_to_4351861_total_4351859_1283	EC:4.3.1.17
CP013019.1_from_3_to_4351861_total_4351859_1285	EC:2.7.8.8
CP013019.1_from_3_to_4351861_total_4351859_1288	EC:2.7.1.107
CP013019.1_from_3_to_4351861_total_4351859_1291	EC:2.7.13.3
CP013019.1_from_3_to_4351861_total_4351859_1298	EC:4.2.99.18
CP013019.1_from_3_to_4351861_total_4351859_1301	EC:3.2.1.41
CP013019.1_from_3_to_4351861_total_4351859_1306	EC:3.6.4.12
CP013019.1_from_3_to_4351861_total_4351859_1307	EC:6.5.1.2
CP013019.1_from_3_to_4351861_total_4351859_1310	EC:6.3.5.7
CP013019.1_from_3_to_4351861_total_4351859_1315	EC:2.7.7.56
CP013019.1_from_3_to_4351861_total_4351859_1316	EC:3.6.1.66
CP013019.1_from_3_to_4351861_total_4351859_1322	EC:3.6.1.27
CP013019.1_from_3_to_4351861_total_4351859_1325	EC:3.2.1.17
CP013019.1_from_3_to_4351861_total_4351859_1329	EC:2.3.2.13
CP013019.1_from_3_to_4351861_total_4351859_1333	EC:2.7.2.8
CP013019.1_from_3_to_4351861_total_4351859_1348	EC:6.1.1.15
CP013019.1_from_3_to_4351861_total_4351859_1355	EC:4.2.3.1
CP013019.1_from_3_to_4351861_total_4351859_1356	EC:1.1.1.3
CP013019.1_from_3_to_4351861_total_4351859_1357	EC:2.7.1.39
CP013019.1_from_3_to_4351861_total_4351859_1360	EC:1.2.1.9
CP013019.1_from_3_to_4351861_total_4351859_1362	EC:4.1.3.27
CP013019.1_from_3_to_4351861_total_4351859_1364	EC:2.4.2.18
CP013019.1_from_3_to_4351861_total_4351859_1365	EC:4.1.1.48
CP013019.1_from_3_to_4351861_total_4351859_1366	EC:5.3.1.24
CP013019.1_from_3_to_4351861_total_4351859_1368	EC:4.2.1.20
CP013019.1_from_3_to_4351861_total_4351859_1374	EC:1.18.6.1
CP013019.1_from_3_to_4351861_total_4351859_1375	EC:1.18.6.1
CP013019.1_from_3_to_4351861_total_4351859_1377	EC:1.18.6.1
CP013019.1_from_3_to_4351861_total_4351859_1383	EC:1.18.6.1
CP013019.1_from_3_to_4351861_total_4351859_1384	EC:1.18.6.1
CP013019.1_from_3_to_4351861_total_4351859_1385	EC:1.18.6.1
CP013019.1_from_3_to_4351861_total_4351859_1386	EC:1.18.6.1
CP013019.1_from_3_to_4351861_total_4351859_1391	EC:2.3.3.14
CP013019.1_from_3_to_4351861_total_4351859_1392	EC:2.3.3.14
CP013019.1_from_3_to_4351861_total_4351859_1394	EC:4.2.3.3
CP013019.1_from_3_to_4351861_total_4351859_1404	EC:5.3.1.8
CP013019.1_from_3_to_4351861_total_4351859_1412	EC:2.3.1.51
CP013019.1_from_3_to_4351861_total_4351859_1413	EC:2.3.3.13
CP013019.1_from_3_to_4351861_total_4351859_1414	EC:1.1.1.41
CP013019.1_from_3_to_4351861_total_4351859_1415	EC:6.3.4.5
CP013019.1_from_3_to_4351861_total_4351859_1416	EC:4.3.2.1
CP013019.1_from_3_to_4351861_total_4351859_1422	EC:3.1.3.11
CP013019.1_from_3_to_4351861_total_4351859_1444	EC:6.1.1.17
CP013019.1_from_3_to_4351861_total_4351859_1453	EC:3.4.16.4
CP013019.1_from_3_to_4351861_total_4351859_1457	EC:2.7.4.6
CP013019.1_from_3_to_4351861_total_4351859_1463	EC:2.8.3.8;EC:2.8.3.9
CP013019.1_from_3_to_4351861_total_4351859_1464	EC:2.8.3.5;EC:2.8.3.8;EC:2.8.3.9
CP013019.1_from_3_to_4351861_total_4351859_1468	None
CP013019.1_from_3_to_4351861_total_4351859_1481	EC:6.3.4.21
CP013019.1_from_3_to_4351861_total_4351859_1482	EC:3.6.4.12
CP013019.1_from_3_to_4351861_total_4351859_1486	EC:3.5.1.104
CP013019.1_from_3_to_4351861_total_4351859_1518	EC:6.3.4.20
CP013019.1_from_3_to_4351861_total_4351859_1522	EC:3.6.1.11;EC:3.6.1.40
CP013019.1_from_3_to_4351861_total_4351859_1524	EC:2.7.4.1
CP013019.1_from_3_to_4351861_total_4351859_1525	EC:6.1.1.19
CP013019.1_from_3_to_4351861_total_4351859_1538	EC:1.1.1.169
CP013019.1_from_3_to_4351861_total_4351859_1553	EC:1.17.4.1
CP013019.1_from_3_to_4351861_total_4351859_1557	EC:7.2.2.10
CP013019.1_from_3_to_4351861_total_4351859_1559	EC:6.3.5.1
CP013019.1_from_3_to_4351861_total_4351859_1562	EC:1.3.1.44
CP013019.1_from_3_to_4351861_total_4351859_1567	EC:2.5.1.47
CP013019.1_from_3_to_4351861_total_4351859_1568	EC:2.8.1.7
CP013019.1_from_3_to_4351861_total_4351859_1569	EC:2.8.1.13
CP013019.1_from_3_to_4351861_total_4351859_1573	EC:2.7.13.3
CP013019.1_from_3_to_4351861_total_4351859_1574	EC:3.4.21.107
CP013019.1_from_3_to_4351861_total_4351859_1582	None
CP013019.1_from_3_to_4351861_total_4351859_1583	EC:3.6.4.13
CP013019.1_from_3_to_4351861_total_4351859_1591	EC:6.1.1.9
CP013019.1_from_3_to_4351861_total_4351859_1592	EC:6.3.2.17
CP013019.1_from_3_to_4351861_total_4351859_1594	EC:2.3.1.1;EC:2.3.1.35
CP013019.1_from_3_to_4351861_total_4351859_1595	EC:1.2.1.38
CP013019.1_from_3_to_4351861_total_4351859_1596	EC:2.7.2.8
CP013019.1_from_3_to_4351861_total_4351859_1597	EC:2.6.1.11
CP013019.1_from_3_to_4351861_total_4351859_1603	EC:2.3.1.89
CP013019.1_from_3_to_4351861_total_4351859_1605	EC:1.17.1.8
CP013019.1_from_3_to_4351861_total_4351859_1606	EC:4.3.3.7
CP013019.1_from_3_to_4351861_total_4351859_1618	EC:6.1.1.3
CP013019.1_from_3_to_4351861_total_4351859_1623	EC:6.1.1.20
CP013019.1_from_3_to_4351861_total_4351859_1624	EC:6.1.1.20
CP013019.1_from_3_to_4351861_total_4351859_1633	EC:4.1.1.19
CP013019.1_from_3_to_4351861_total_4351859_1636	EC:5.4.2.2
CP013019.1_from_3_to_4351861_total_4351859_1639	None
CP013019.1_from_3_to_4351861_total_4351859_1645	EC:2.7.7.24
CP013019.1_from_3_to_4351861_total_4351859_1647	EC:5.1.3.13
CP013019.1_from_3_to_4351861_total_4351859_1648	None
CP013019.1_from_3_to_4351861_total_4351859_1657	EC:2.4.1.187
CP013019.1_from_3_to_4351861_total_4351859_1658	EC:1.1.1.133
CP013019.1_from_3_to_4351861_total_4351859_1666	EC:2.5.1.16
CP013019.1_from_3_to_4351861_total_4351859_1668	EC:2.7.11.1
CP013019.1_from_3_to_4351861_total_4351859_1679	EC:4.3.3.6
CP013019.1_from_3_to_4351861_total_4351859_1680	EC:3.5.1.2;EC:4.3.3.6
CP013019.1_from_3_to_4351861_total_4351859_1681	EC:2.7.1.69
CP013019.1_from_3_to_4351861_total_4351859_1683	EC:5.6.2.2
CP013019.1_from_3_to_4351861_total_4351859_1684	EC:5.6.2.2
CP013019.1_from_3_to_4351861_total_4351859_1687	EC:2.8.1.6
CP013019.1_from_3_to_4351861_total_4351859_1689	EC:2.4.1.227
CP013019.1_from_3_to_4351861_total_4351859_1697	EC:1.1.1.27
CP013019.1_from_3_to_4351861_total_4351859_1701	EC:3.5.1.44
CP013019.1_from_3_to_4351861_total_4351859_1702	EC:3.1.1.61;EC:3.5.1.44
CP013019.1_from_3_to_4351861_total_4351859_1703	EC:2.1.1.80
CP013019.1_from_3_to_4351861_total_4351859_1704	EC:2.7.13.3
CP013019.1_from_3_to_4351861_total_4351859_1732	EC:3.6.4.12
CP013019.1_from_3_to_4351861_total_4351859_1751	EC:3.2.1.10
CP013019.1_from_3_to_4351861_total_4351859_1762	EC:7.1.2.2
CP013019.1_from_3_to_4351861_total_4351859_1783	EC:3.6.1.1
CP013019.1_from_3_to_4351861_total_4351859_1791	EC:3.4.21.53
CP013019.1_from_3_to_4351861_total_4351859_1792	EC:3.1.3.48
CP013019.1_from_3_to_4351861_total_4351859_1797	EC:2.1.1.199
CP013019.1_from_3_to_4351861_total_4351859_1800	EC:6.3.2.13
CP013019.1_from_3_to_4351861_total_4351859_1801	EC:6.3.2.10
CP013019.1_from_3_to_4351861_total_4351859_1802	EC:2.7.8.13
CP013019.1_from_3_to_4351861_total_4351859_1812	EC:3.2.2.9
CP013019.1_from_3_to_4351861_total_4351859_1814	EC:3.4.23.36
CP013019.1_from_3_to_4351861_total_4351859_1818	EC:5.1.1.7
CP013019.1_from_3_to_4351861_total_4351859_1820	EC:4.1.3.27
CP013019.1_from_3_to_4351861_total_4351859_1821	EC:2.6.1.85
CP013019.1_from_3_to_4351861_total_4351859_1822	EC:4.1.3.38
CP013019.1_from_3_to_4351861_total_4351859_1834	EC:2.7.1.69
CP013019.1_from_3_to_4351861_total_4351859_1835	EC:3.2.1.122
CP013019.1_from_3_to_4351861_total_4351859_1837	EC:2.7.1.69
CP013019.1_from_3_to_4351861_total_4351859_1852	EC:1.5.1.5;EC:3.5.4.9
CP013019.1_from_3_to_4351861_total_4351859_1853	EC:3.1.11.6
CP013019.1_from_3_to_4351861_total_4351859_1854	EC:3.1.11.6
CP013019.1_from_3_to_4351861_total_4351859_1855	EC:2.5.1.10;EC:2.5.1.29
CP013019.1_from_3_to_4351861_total_4351859_1857	EC:2.2.1.7
CP013019.1_from_3_to_4351861_total_4351859_1859	EC:2.7.1.23
CP013019.1_from_3_to_4351861_total_4351859_1862	EC:3.4.21.116
CP013019.1_from_3_to_4351861_total_4351859_1868	EC:3.6.1.13
CP013019.1_from_3_to_4351861_total_4351859_1872	EC:5.4.2.7
CP013019.1_from_3_to_4351861_total_4351859_1873	EC:2.4.2.1
CP013019.1_from_3_to_4351861_total_4351859_1874	EC:2.4.2.1
CP013019.1_from_3_to_4351861_total_4351859_1875	EC:2.4.2.2
CP013019.1_from_3_to_4351861_total_4351859_1876	EC:3.4.16.4
CP013019.1_from_3_to_4351861_total_4351859_1881	EC:3.4.16.4
CP013019.1_from_3_to_4351861_total_4351859_1885	EC:1.18.6.1
CP013019.1_from_3_to_4351861_total_4351859_1891	EC:2.7.4.25
CP013019.1_from_3_to_4351861_total_4351859_1892	EC:1.17.7.4
CP013019.1_from_3_to_4351861_total_4351859_1896	EC:2.8.4.3
CP013019.1_from_3_to_4351861_total_4351859_1899	EC:2.5.1.75
CP013019.1_from_3_to_4351861_total_4351859_1902	None
CP013019.1_from_3_to_4351861_total_4351859_1904	EC:3.4.21.88
CP013019.1_from_3_to_4351861_total_4351859_1907	EC:2.3.1.181
CP013019.1_from_3_to_4351861_total_4351859_1908	EC:2.8.1.8
CP013019.1_from_3_to_4351861_total_4351859_1913	EC:1.8.1.4
CP013019.1_from_3_to_4351861_total_4351859_1957	EC:3.6.4.13
CP013019.1_from_3_to_4351861_total_4351859_1960	EC:3.6.3.3;EC:3.6.3.4
CP013019.1_from_3_to_4351861_total_4351859_1963	EC:4.3.2.2
CP013019.1_from_3_to_4351861_total_4351859_1964	None
CP013019.1_from_3_to_4351861_total_4351859_1968	EC:2.4.2.45
CP013019.1_from_3_to_4351861_total_4351859_1972	EC:2.7.8.5
CP013019.1_from_3_to_4351861_total_4351859_1973	EC:2.8.4.4
CP013019.1_from_3_to_4351861_total_4351859_1977	EC:2.7.7.8
CP013019.1_from_3_to_4351861_total_4351859_1979	EC:2.7.1.26;EC:2.7.7.2
CP013019.1_from_3_to_4351861_total_4351859_1980	EC:5.4.99.25
CP013019.1_from_3_to_4351861_total_4351859_1981	None
CP013019.1_from_3_to_4351861_total_4351859_1988	EC:1.17.7.3
CP013019.1_from_3_to_4351861_total_4351859_1990	EC:1.1.1.267
CP013019.1_from_3_to_4351861_total_4351859_1992	EC:2.7.7.41
CP013019.1_from_3_to_4351861_total_4351859_1995	EC:2.7.4.22
CP013019.1_from_3_to_4351861_total_4351859_1999	EC:5.6.2.1
CP013019.1_from_3_to_4351861_total_4351859_2009	EC:3.1.26.4
CP013019.1_from_3_to_4351861_total_4351859_2011	EC:3.4.21.89
CP013019.1_from_3_to_4351861_total_4351859_2013	EC:2.1.1.228
CP013019.1_from_3_to_4351861_total_4351859_2023	EC:3.1.26.3
CP013019.1_from_3_to_4351861_total_4351859_2025	EC:2.3.1.274
CP013019.1_from_3_to_4351861_total_4351859_2029	EC:2.3.1.8
CP013019.1_from_3_to_4351861_total_4351859_2037	EC:3.6.4.12
CP013019.1_from_3_to_4351861_total_4351859_2042	EC:2.7.6.2
CP013019.1_from_3_to_4351861_total_4351859_2043	EC:5.1.3.1
CP013019.1_from_3_to_4351861_total_4351859_2046	EC:3.1.3.16
CP013019.1_from_3_to_4351861_total_4351859_2047	EC:2.1.1.192
