sequence_ID	prediction
CP002421.1_from_2218222_to_2219599_total_1378_3	EC:1.2.1.12
CP007181.1_from_603275_to_608795_total_5521_4	EC:2.7.3.13
CP007181.1_from_1123820_to_1136701_total_12882_12	EC:2.4.1.290
CP007181.1_from_1136741_to_1144603_total_7863_5	EC:7.5.2.5
CP007181.1_from_1344353_to_1351235_total_6883_3	EC:2.5.1.101
CP007181.1_from_1344353_to_1351235_total_6883_4	EC:3.2.1.184
CP007182.1_from_30918_to_47861_total_16944_16	EC:3.4.19.3
CP007189.1_from_1_to_1629477_total_1629477_636	EC:2.7.3.13
CP007189.1_from_1_to_1629477_total_1629477_1050	EC:2.4.1.290
CP007189.1_from_1_to_1629477_total_1629477_1055	EC:7.5.2.5
CP007189.1_from_1_to_1629477_total_1629477_1210	EC:2.6.1.92
CP007189.1_from_1_to_1629477_total_1629477_1236	EC:2.5.1.101
CP007189.1_from_1_to_1629477_total_1629477_1237	EC:3.2.1.184
CP007189.1_from_1_to_1629477_total_1629477_1432	EC:7.3.2.6
CP010497.1_from_18_to_1634103_total_1634086_950	EC:2.4.1.290
CP010497.1_from_18_to_1634103_total_1634086_955	EC:7.5.2.5
CP010497.1_from_18_to_1634103_total_1634086_1118	EC:2.6.1.92
CP010497.1_from_18_to_1634103_total_1634086_1213	EC:2.7.3.13
CP010497.1_from_18_to_1634103_total_1634086_1489	EC:7.3.2.6
FR687359.1_from_131695_to_150158_total_18464_9	EC:7.1.2.2
FR687359.1_from_369269_to_392276_total_23008_8	EC:4.2.1.12
FR687359.1_from_559784_to_566883_total_7100_4	EC:4.2.1.9
FR687359.1_from_813186_to_819689_total_6504_4	EC:1.3.8.6
FR687359.1_from_819694_to_847214_total_27521_10	EC:2.3.2.2;EC:3.4.19.13
FR687359.1_from_819694_to_847214_total_27521_11	EC:2.3.2.2;EC:3.4.19.13
FR687359.1_from_2039823_to_2053014_total_13192_7	EC:1.3.5.1
FR687359.1_from_2581894_to_2622137_total_40244_17	EC:2.7.11.5;EC:3.1.3.-
FR687360.1_from_51961_to_88515_total_36555_1	EC:4.2.1.117;EC:4.2.1.3
FR687360.1_from_51961_to_88515_total_36555_2	EC:4.2.1.117;EC:4.2.1.3
FR687360.1_from_190169_to_232593_total_42425_30	EC:2.6.1.76
FR687360.1_from_257003_to_259182_total_2180_4	EC:1.3.8.-
FR687360.1_from_289686_to_297321_total_7636_2	EC:3.5.2.2
FR687360.1_from_289686_to_297321_total_7636_3	EC:3.5.2.2
FR687360.1_from_747901_to_760120_total_12220_10	EC:1.2.1.32
FR687360.1_from_784873_to_811769_total_26897_9	EC:1.7.5.1
CP002215.1_from_113220_to_113746_total_527_1	EC:2.7.7.6
CP002215.1_from_825609_to_825881_total_273_1	EC:6.3.5.5
CP002215.1_from_1657225_to_1659232_total_2008_3	EC:3.1.3.-;EC:5.2.1.8
CP002346.1_from_780489_to_781203_total_715_1	EC:7.1.1.-
CP002346.1_from_1413039_to_1415441_total_2403_2	EC:2.8.1.13
CP002346.1_from_1512880_to_1514923_total_2044_3	EC:1.11.1.21
CP012394.1_from_578_to_1334_total_757_2	EC:6.1.1.17
CP012394.1_from_19058_to_19565_total_508_1	EC:1.1.1.29
CP012394.1_from_364436_to_364892_total_457_1	EC:6.3.5.5
CP012394.1_from_532189_to_533193_total_1005_2	EC:7.2.1.1
CP012394.1_from_652484_to_653218_total_735_1	EC:3.1.26.3
CP012394.1_from_687010_to_687787_total_778_2	EC:4.99.1.1
CP012394.1_from_1150620_to_1152029_total_1410_2	EC:2.1.1.37
CP012394.1_from_1497648_to_1498030_total_383_1	EC:3.5.1.18
CP012394.1_from_1685833_to_1686181_total_349_2	EC:2.1.1.45
CP012394.1_from_1790789_to_1791479_total_691_1	EC:3.5.1.128
CP012394.1_from_1909497_to_1909831_total_335_1	EC:2.7.1.24
LT599049.1_from_1791746_to_1792304_total_559_1	EC:4.2.1.8
LT599049.1_from_1909796_to_1910926_total_1131_2	EC:4.2.1.51
CP016652.1_from_6_to_2162197_total_2162192_483	EC:1.1.1.284
CP016652.1_from_6_to_2162197_total_2162192_623	EC:3.1.21.4
CP016652.1_from_6_to_2162197_total_2162192_626	EC:2.1.1.37
CP016652.1_from_6_to_2162197_total_2162192_881	EC:2.4.99.6
CP016652.1_from_6_to_2162197_total_2162192_1084	EC:3.1.21.4
CP016652.1_from_6_to_2162197_total_2162192_1497	EC:2.7.7.n1
CP016652.1_from_6_to_2162197_total_2162192_1681	EC:2.7.7.43
CP016652.1_from_6_to_2162197_total_2162192_1686	EC:7.6.2.12
CP010490.1_from_17_to_1643035_total_1643019_1070	EC:2.4.1.290
CP010490.1_from_17_to_1643035_total_1643019_1075	EC:7.5.2.5
CP010490.1_from_17_to_1643035_total_1643019_1238	EC:2.6.1.92
CP010490.1_from_17_to_1643035_total_1643019_1331	EC:2.7.3.13
CP010490.1_from_17_to_1643035_total_1643019_1459	EC:7.3.2.6
CP007016.1_from_2_to_2031690_total_2031689_66	EC:3.2.1.80
CP007016.1_from_2_to_2031690_total_2031689_905	EC:2.4.1.5
CP007016.1_from_2_to_2031690_total_2031689_906	EC:2.4.1.5
CP007016.1_from_2_to_2031690_total_2031689_912	EC:2.4.2.52
CP007016.1_from_2_to_2031690_total_2031689_1347	EC:3.1.-.-;EC:3.6.4.12
CP007016.1_from_2_to_2031690_total_2031689_1817	EC:2.4.1.10
CP003025.1_from_149037_to_149281_total_245_1	EC:2.4.1.7
CP003025.1_from_489647_to_490200_total_554_1	EC:4.2.1.20
CP003025.1_from_643241_to_643622_total_382_1	EC:6.1.1.20
CP010506.1_from_18_to_1643937_total_1643920_1072	EC:2.4.1.290
CP010506.1_from_18_to_1643937_total_1643920_1077	EC:7.5.2.5
CP010506.1_from_18_to_1643937_total_1643920_1240	EC:2.6.1.92
CP010506.1_from_18_to_1643937_total_1643920_1335	EC:2.7.3.13
CP010506.1_from_18_to_1643937_total_1643920_1463	EC:7.3.2.6
CP017856.1_from_1140515_to_1157512_total_16998_6	EC:2.4.1.290
CP017856.1_from_1140515_to_1157512_total_16998_11	EC:7.5.2.5
CP017856.1_from_1311543_to_1315096_total_3554_4	EC:2.6.1.92
CP000259.1_from_126209_to_164447_total_38239_33	EC:4.4.1.13
CP000259.1_from_765272_to_821192_total_55921_64	EC:3.2.1.35
HG316453.2_from_160478_to_169064_total_8587_2	EC:4.4.1.13
HG316453.2_from_871468_to_872474_total_1007_2	EC:1.1.1.28
HG316453.2_from_1112567_to_1113641_total_1075_2	EC:4.1.99.3
CP013367.1_from_896421_to_896886_total_466_1	EC:3.5.1.87
CP003122.1_from_2074772_to_2076640_total_1869_3	EC:3.1.3.48
LN614756.1_from_476211_to_478649_total_2439_2	EC:1.3.1.108
LN614756.1_from_901830_to_903300_total_1471_1	EC:2.3.1.181
LN614756.1_from_926235_to_927965_total_1731_2	EC:2.8.1.4
LN614756.1_from_935566_to_936664_total_1099_1	EC:2.3.1.54
LN614756.1_from_2300368_to_2301894_total_1527_1	EC:2.6.1.11
LN614756.1_from_2678930_to_2679201_total_272_1	EC:1.21.4.2;EC:1.21.4.3;EC:1.21.4.4
LN614756.1_from_3389514_to_3390176_total_663_2	EC:7.1.2.2
LN614756.1_from_3988703_to_3989763_total_1061_2	EC:1.12.1.3
CP004379.1_from_2743131_to_2745201_total_2071_2	EC:5.4.99.61
CP004379.1_from_2904619_to_2908255_total_3637_4	EC:1.2.1.-
CP014805.2_from_724884_to_742730_total_17847_6	EC:3.4.24.76
CP014805.2_from_3662019_to_3682339_total_20321_13	EC:3.2.1.96
FN665652.1_from_24_to_4159503_total_4159480_396	EC:4.2.1.157
FN665652.1_from_24_to_4159503_total_4159480_397	EC:4.2.1.157
FN665652.1_from_24_to_4159503_total_4159480_398	EC:1.3.1.108
FN665652.1_from_24_to_4159503_total_4159480_467	EC:5.1.1.12
FN665652.1_from_24_to_4159503_total_4159480_790	EC:2.3.1.181
FN665652.1_from_24_to_4159503_total_4159480_1037	EC:1.3.8.1
FN665652.1_from_24_to_4159503_total_4159480_2924	EC:3.4.24.89
CP008926.1_from_420240_to_455330_total_35091_25	EC:3.2.1.35
CP008926.1_from_1154949_to_1169400_total_14452_5	EC:4.4.1.13
CP019419.1_from_2391582_to_2392450_total_869_2	EC:1.17.1.8
CP003858.1_from_608144_to_609257_total_1114_1	EC:4.99.1.1
CP003858.1_from_938750_to_941662_total_2913_5	EC:2.8.1.4
FM204883.1_from_278477_to_280342_total_1866_3	EC:3.6.1.23
CP008918.1_from_68323_to_69146_total_824_1	EC:4.1.2.13
CP008918.1_from_211098_to_211352_total_255_1	EC:4.2.1.8
CP008918.1_from_352293_to_352832_total_540_1	EC:6.3.5.5
CP008918.1_from_520420_to_520957_total_538_1	EC:2.7.7.87
CP008918.1_from_646218_to_646490_total_273_1	EC:3.4.11.9
CP008918.1_from_940145_to_940489_total_345_1	EC:2.7.7.12
CP008918.1_from_942253_to_942786_total_534_2	EC:5.1.3.3
CP008918.1_from_993262_to_993485_total_224_1	EC:5.4.99.24
CP008918.1_from_1416715_to_1417213_total_499_1	EC:6.1.1.3
CP008918.1_from_1628979_to_1629668_total_690_1	EC:7.3.2.5
CP008918.1_from_1967800_to_1968051_total_252_1	EC:3.2.2.9
CP008918.1_from_2201833_to_2203243_total_1411_3	EC:6.1.1.21
CP008918.1_from_2227582_to_2228014_total_433_2	EC:2.7.4.22
CP009165.1_from_5_to_4008852_total_4008848_2137	EC:1.2.1.-
CP009165.1_from_5_to_4008852_total_4008848_2220	EC:6.3.4.5
CP009165.1_from_5_to_4008852_total_4008848_2261	EC:5.4.99.61
CP009164.1_from_2_to_3263571_total_3263570_1962	EC:7.5.2.1
CP006812.1_from_7_to_2347811_total_2347805_397	EC:3.1.3.-
