sequence_ID	prediction
AP009386.1_from_45681_to_49840_total_4160_4	EC:1.3.99.-
AP009386.1_from_2052618_to_2056265_total_3648_1	EC:2.7.1.217
AP009388.1_from_147597_to_150277_total_2681_1	EC:2.7.7.7
CP010262.1_from_5_to_4106662_total_4106658_697	EC:4.6.1.1
CP010262.1_from_5_to_4106662_total_4106658_1893	EC:2.7.1.219
CP002416.1_from_18_to_3561617_total_3561600_231	EC:2.5.1.101
CP002416.1_from_18_to_3561617_total_3561600_1912	EC:1.12.1.3
CP002416.1_from_18_to_3561617_total_3561600_1988	EC:3.2.1.4
CP002416.1_from_18_to_3561617_total_3561600_3048	EC:2.7.8.36
CP016341.1_from_2397888_to_2413665_total_15778_16	EC:4.3.1.16
CP016341.1_from_3000943_to_3023919_total_22977_4	EC:2.3.1.251
CP016341.1_from_3048317_to_3051880_total_3564_3	EC:2.6.1.76
CP016502.1_from_182261_to_553162_total_370902_65	EC:2.5.1.101
CP016502.1_from_2010105_to_2349092_total_338988_173	EC:1.12.1.3
CP016502.1_from_2010105_to_2349092_total_338988_250	EC:3.2.1.4
CP016502.1_from_3320175_to_3577575_total_257401_197	EC:2.7.8.36
CP010842.1_from_1589426_to_1589909_total_484_2	EC:2.7.7.6
CP010842.1_from_1604906_to_1608015_total_3110_1	EC:3.6.1.66
CP010842.1_from_1698063_to_1699092_total_1030_1	EC:1.-.-.-
CP010842.1_from_2139524_to_2145070_total_5547_4	EC:2.7.1.219
CP015402.1_from_2615322_to_2616426_total_1105_2	EC:7.1.1.-
CP015402.1_from_2761362_to_2761972_total_611_1	EC:4.4.1.21
